domain,title,url
www.spectator.com.au,,https://www.spectator.com.au/2020/04/after-the-party/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/send-xi-the-reparations-bill/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/pandemic-notes/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/brown-study-161/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/comic-books-are-now-a-laughing-stock/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/lloyd-rees-solitude-1978/
www.spectator.com.au,,https://www.spectator.com.au/2020/01/how-i-learned-to-stop-worrying-and-love-co2/
www.spectator.com.au,,https://www.spectator.com.au/2020/01/cave-diving-into-the-culture-wars/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/getafix-battles-pharma-geddon-and-comes-up-trumps/
www.spectator.com.au,,https://www.spectator.com.au/2020/01/business-robbery-etc-36/
www.spectator.com.au,,https://www.spectator.com.au/2020/01/marta-dusseldorp-2/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/how-the-left-helps-make-fake-news/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/global-warming-meet-creationism/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/has-impeachment-had-its-day/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/luca-micheletti-and-anna-dowsley/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/charles-threatens-the-crown/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/three-and-a-half-years-is-a-long-time-in-politics/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/going-solo-beyond-paris/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/simon-collins-69/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/cultural-notes-4/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/the-palace-should-be-warned/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/climatists-of-the-world-unite/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/the-importance-of-being-karl/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/brown-study-156/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/now-wash-your-hands/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/climate-warriors/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/brown-study-157/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/chinese-whispers-2/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/brown-study-164/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/diary-211/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/oiks-the-panda-demic/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/kangaroo-court/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/business-robbery-etc-37/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/stone-not-gathering-moss/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/london-notes-3/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/the-happy-prince/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/gendered-predjudice-and-the-wrath-of-the-left/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/australian-notes-172/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/how-green-was-my-guardian/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/stairway-to-gaia/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/made-in-china/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/masochism-and-sadism/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/aux-bien-pensants-28/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/thought-control-through-fear/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/beware-the-aspirational-goal/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/dis-con-notes-20/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/i-am-woman-hear-me-roar-part-2/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/bandwagon-overload/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/tinkerbell-wins-gold-at-the-sydney-peace-prize/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/nothing-to-be-proud-of/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/an-excitable-right-wing-polemicist-replies/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/guilt-by-accusation/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/climate-costs-go-viral/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/we-are-not-anzacs-in-this-crisis/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/stop-the-world-we-want-to-change-it/
www.spectator.com.au,,https://www.spectator.com.au/2020/04/easter-diary/
